range,large,intermediate,small,destroyer,submarine
1.0,99.994,99.994,99.994,99.994,35.986
2.0,99.076,95.872,80.868,56.478,17.396
3.0,76.858,67.244,40.267,25.45,9.486
4.0,58.028,45.898,26.195,16.799,5.793
5.0,41.875,30.517,17.782,11.702,4.005
6.0,31.105,21.97,12.604,8.325,2.696
7.0,23.964,16.792,9.271,6.18,2.004
8.0,18.947,13.18,7.414,4.884,1.508
9.0,15.627,10.695,6.12,3.981,1.102
10.0,13.028,9.006,4.863,3.182,0.901
11.0,11.108,7.527,4.006,2.61,0.695
12.0,9.042,6.067,3.091,1.867,0.573
13.0,7.326,4.977,2.461,1.398,0.442
14.0,6.155,4.122,2.032,1.242,0.339
15.0,5.085,3.428,1.6,0.971,0.234
16.0,4.197,2.759,1.264,0.748,0.22
